,index,ground_truth,predicted_A,highest_softmax_A,predicted_B,highest_softmax_B,predicted_C,highest_softmax_C,sparsity_A,sparsity_B,sparsity_C,corr_AB,corr_BC,corr_AC,frob_AB,frob_BC,frob_AC,cos_AB,cos_BC,cos_AC
0,0,16,16,0.8932014107704163,16,0.5346159338951111,16,0.8727573752403259,0.6064453125,0.345703125,0.74609375,0.18680520931801223,0.01336446606461403,0.20000360800419575,3.5935276,3.626287,1.3834482,0.2200495,0.06430034,0.19432099
1,1,1,1,0.9231196641921997,1,0.9896619319915771,1,0.9056461453437805,0.400390625,0.7490234375,0.1513671875,0.02901315625448498,0.07393655037663768,0.09713546744717076,5.6161323,4.0523562,6.3042984,0.069831505,0.09844809,0.18611425
2,2,38,38,0.9947342872619629,38,0.9768630266189575,38,0.9879871010780334,0.841796875,0.419921875,0.69921875,0.2437412898521868,0.34412603131194675,0.2888487880543601,2.22407,2.1147065,0.51618516,0.12731537,0.36332515,0.15946785
3,3,33,33,0.9994410872459412,33,0.999987006187439,33,0.9999111890792847,1.0,1.0,1.0,0.3869654428457836,0.22346031040939957,0.16443439558495648,0.013534223,0.020658676,0.026290786,0.12584877,-0.029110078,-0.1453958
4,4,11,11,0.982792854309082,11,0.9998997449874878,11,0.818545937538147,0.75390625,1.0,0.5546875,0.4625563060885247,0.21343037494452463,0.2888677197257138,0.6652205,1.2755119,1.4483279,0.28728747,0.06728899,-0.011909917
5,5,38,38,0.9956140518188477,38,0.9809983372688293,38,0.9871839880943298,0.84375,0.3994140625,0.6767578125,0.29027000045088924,0.33025171289300187,0.5592346655138145,1.9895395,1.9910794,0.5059367,0.06417084,0.11687091,0.18550794
6,6,18,18,0.9929153919219971,18,0.9955471754074097,18,0.9987842440605164,0.8681640625,0.6142578125,0.70703125,0.5518615853752654,0.28221887487061664,0.2702283136434304,0.7643657,0.8745565,0.6309163,0.28886294,0.32459477,0.44294643
7,7,12,12,0.9905598759651184,12,0.9997606873512268,12,0.965260922908783,0.796875,0.9892578125,0.169921875,0.36105359874804144,0.03839877482924804,0.3334623358500338,0.35064527,2.3326304,2.3203337,0.123623274,0.21874575,0.15828465
8,8,25,25,0.9921594858169556,25,0.9985060691833496,25,0.983171820640564,0.845703125,0.9794921875,0.5537109375,0.36779694280707037,0.2686038908018356,0.11370109104120574,0.32887617,0.8158684,0.8762133,0.09782919,0.11002419,0.017923132
9,9,35,35,0.9912121891975403,35,0.9824858903884888,35,0.9503470659255981,0.951171875,0.7294921875,0.697265625,0.23774221352085317,0.11415237776564556,0.25953413418918425,0.41691864,0.5777923,0.42356268,0.02363315,-0.016637262,0.06259674
10,10,12,12,0.9214414954185486,12,0.9876307845115662,12,0.9722363948822021,0.283203125,0.4169921875,0.03515625,0.3913373147667871,0.32269412251827656,0.24619421946165407,6.0326786,14.686496,15.1388645,0.18019255,0.08449614,0.124873675
11,11,7,7,0.834769070148468,7,0.8191092610359192,8,0.6254376173019409,0.6875,0.2998046875,0.125,0.2030990527676373,0.046914703813521495,0.2402193056128779,13.239127,12.631155,10.833482,0.042506836,0.45956784,-0.08439707
12,12,23,23,0.5730421543121338,23,0.46455299854278564,23,0.6059936881065369,0.6396484375,0.3671875,0.263671875,0.41534774142589265,0.09694841023913628,0.3597010439501688,5.223776,6.052744,2.9444053,0.4948955,0.0963051,-0.06762632
13,13,7,7,0.8274659514427185,7,0.8739779591560364,5,0.3648592233657837,0.3388671875,0.2626953125,0.0966796875,0.3273132902122989,0.3610507900628877,0.17675428799300397,12.723077,21.114773,14.048187,0.43036258,-0.19336936,0.050950103
14,14,4,4,0.9817273616790771,4,0.998138427734375,1,0.5207406878471375,0.365234375,0.9423828125,0.0458984375,0.18898823272169987,0.02336540099397647,0.1656230782583042,5.6541452,16.855934,17.443014,0.041269775,0.2062247,0.06785145
15,15,9,9,0.9675981998443604,9,0.99757319688797,9,0.9271847009658813,0.5810546875,0.947265625,0.27734375,0.09948838388312432,0.006788217558646574,0.09649743739122829,1.5282243,2.670024,2.8106933,0.29801464,-0.01388362,0.19760972
16,16,21,21,0.7826491594314575,21,0.9391756653785706,21,0.9886512756347656,0.3779296875,0.2744140625,0.859375,0.18411408539138807,0.042983376032353277,0.14640282623663917,7.4071455,7.0562663,4.3978915,0.24439786,0.15071033,0.2692514
17,17,20,20,0.27900880575180054,20,0.5709059834480286,20,0.4354102611541748,0.349609375,0.2841796875,0.2431640625,0.2937263969367099,0.29090605751458054,0.2039338837401214,5.665191,5.432851,3.4916916,0.06377511,0.10186253,0.29554278
18,18,27,27,0.6086713671684265,27,0.7935850024223328,27,0.5553317666053772,0.2998046875,0.2421875,0.0458984375,0.29161592427824035,0.13630550728470323,0.3402126602038403,13.749491,15.482046,16.47225,0.26368997,0.35489637,0.20095426
19,19,38,38,0.9673630595207214,38,0.9656519889831543,38,0.9778445959091187,0.4462890625,0.33203125,0.578125,0.2902720701593354,0.11472199087338221,0.19652339799858562,4.4050393,3.9390974,2.1664927,0.052658383,0.06377336,0.24212623
